name	logFC	ave_exp	P.Value_reg1__vs__NT	minus_log_pval	TFDatabase
MAGOHB	-0.179891434	23.68760542	0.715801931	0.14520713435965882	absent
NIP7	-0.18052711	27.83065667	0.391152979	0.40765335784200085	absent
SPTBN2	-0.180768668	28.62233104	0.773877926	0.11132754092670236	absent
NUP93	-0.180809719	31.4343165	0.329526476	0.48210968602059834	absent
LMNB2	-0.180909445	28.02097215	0.224923523	0.6479651227107529	absent
HNRNPD	-0.1809807	32.91138713	0.176806103	0.7525027480702449	absent
ARID1A	-0.181398389	30.72220261	0.085268043	1.0692137044619239	absent
TBP	-0.181434875	27.26051154	0.467734468	0.3300006251510728	absent
GNL2	-0.181623869	30.16366899	0.31680502	0.499207945324255	absent
RRP9	-0.182293275	29.2738521	0.360747018	0.44279725017624966	absent
HMGB2	-0.184494594	26.66039098	0.637736124	0.19535898208828736	absent
NUP107	-0.18462871	30.46600748	0.140355533	0.8527704622315087	absent
GTF3C5	-0.185198638	28.34077098	0.348354873	0.45797810991136084	absent
MED24	-0.186426577	24.38488956	0.554155341	0.25636847663889634	absent
PCBP1	-0.186816431	31.52737515	0.041053613	1.3866486159643934	absent
HNRNPA3	-0.18758979	34.04663812	0.039272642	1.4059098813263367	absent
DNMT3B	-0.187938913	24.83732948	0.546641324	0.2622975403952813	absent
RPL28	-0.189046716	30.04224392	0.193736594	0.7127883396771751	absent
SNRNP70	-0.189057858	31.15237955	0.104152473	0.9823304136902826	absent
PIAS4	-0.189627168	23.93338199	0.551704656	0.2582933508862419	absent
CASK	-0.19238579	26.3624592	0.678579987	0.16839895291906568	absent
ARF1	-0.192817607	26.50845806	0.406533053	0.3909041385030209	absent
DNAJC16	-0.193525794	21.76454707	0.615325137	0.21089534293666962	absent
NOP16	-0.193552771	28.75701385	0.286843697	0.5423546887070904	absent
RRP36	-0.193948758	24.44659317	0.767367449	0.11499662710735234	absent
HSP90AA1	-0.195195209	28.08389222	0.196644952	0.7063171977245294	absent
DNAJC2	-0.196002012	21.8663662	0.622907174	0.20557666734279303	absent
CNOT11	-0.196118639	20.53735572	0.627597389	0.2023188718812307	absent
TOP3A	-0.196426178	26.05585194	0.446252911	0.35041893787781564	absent
KPNA3	-0.197184914	26.60945742	0.567519634	0.246019108953595	absent
NDNL2	-0.199203468	24.94758315	0.591789952	0.22783241299762366	absent
POP1	-0.200907339	28.02873018	0.137170238	0.8627401078311406	absent
MBNL1	-0.201428522	25.61959442	0.69223693	0.15974523534037138	absent
RPL10A	-0.201788859	31.26780841	0.150004155	0.8238967111537818	absent
MED1	-0.202231491	25.13333594	0.459075542	0.3381158443661615	absent
FTSJ1	-0.203690492	23.78146208	0.784915576	0.10517705261662154	absent
HAUS8	-0.204781902	22.45676965	0.776317134	0.10996082847069955	absent
FTSJ3	-0.205044072	32.12765049	0.222854446	0.6519786972116136	absent
MECP2	-0.206198715	24.40073366	0.721343949	0.14185760693827626	absent
ICE2	-0.206442847	24.84734035	0.50893632	0.29333655480025134	absent
EXOC4	-0.20708422	25.96216602	0.303844987	0.5173479244843374	absent
EXOSC5	-0.207217675	23.92591356	0.617112534	0.2096356326623343	absent
NDC1	-0.208648071	27.68513618	0.246240128	0.6086411717585385	absent
UBA1	-0.208913101	25.73715489	0.392119437	0.40658162958802196	absent
WBP2	-0.208913758	24.59366051	0.831421017	0.0801790014177761	absent
ZC3H18	-0.210383611	25.14331195	0.527609514	0.2776873817374103	absent
CACTIN	-0.211261442	24.22567659	0.669969117	0.1739452161433646	absent
WDR33	-0.21157293	28.75779852	0.13054951	0.8842247539038134	absent
RBM12B	-0.211696239	24.87151765	0.479485701	0.3192243396286489	absent
AHCTF1	-0.213297362	30.19548497	0.034964234	1.4563759818872681	absent
MCM2	-0.21549576	29.67496874	0.283468662	0.5474949461987553	absent
NR2F1	-0.216114344	23.74733529	0.759027505	0.11974248622139601	absent
SGPL1	-0.216687584	25.81801064	0.497023191	0.30362334670257557	absent
TROVE2	-0.217355986	24.87609808	0.471155655	0.32683559193718287	absent
INTS8	-0.217536739	25.67454177	0.319322199	0.49577088863849933	absent
PPP2R5D	-0.217546094	24.04241207	0.71308027	0.14686157974717662	absent
PGAM5	-0.218268041	29.07107287	0.435978058	0.36053536745002407	absent
SF1	-0.218650943	29.60015373	0.117815923	0.9287960100267642	absent
SUPT6H	-0.218676017	29.87017036	0.111207002	0.9538678671224304	absent
TAF1A	-0.218760113	23.40547535	0.627465552	0.20241011205724233	absent
KAT6A	-0.219658025	27.25478163	0.222235626	0.6531863192250591	absent
ZNF318	-0.221075141	24.78506322	0.480784888	0.3180491915073016	absent
ANXA7	-0.221883599	28.75638114	0.222555174	0.6525623047131621	absent
INTS12	-0.222175583	25.08380891	0.554247515	0.2562962453929183	absent
ACTN4	-0.222494253	31.13808763	0.063187499	1.1993688339380313	absent
HMG20A	-0.222557827	24.62418084	0.537429669	0.26967836185648975	absent
KIF18B	-0.223613508	25.08338679	0.586750328	0.23154665895382612	absent
FARSA	-0.226608271	24.29239998	0.700356443	0.15468087165908176	absent
